speaker,utterance,word,cons,annotation,duration,start_time,end_time
d1,u1,баба_лохматый,,v1,237.169335099337,1.64800000000002,1.88516933509936
d1,u1,баба_лохматый,б,vot,118.945398675497,1.88516933509936,2.00411473377485
d1,u1,баба_лохматый,,v2,82.7446251655628,2.00411473377485,2.08685935894042
d1,u2,баба_лохматый,,v1,160.887088741722,2.49800000000002,2.65888708874174
d1,u2,баба_лохматый,б,vot,127.99559205298,2.65888708874174,2.78688268079472
d1,u2,баба_лохматый,,v2,76.2802013245034,2.78688268079472,2.86316288211922
d1,u3,баба_лохматый,,v1,175.832328476821,3.22841492980134,3.40424725827817
d1,u3,баба_лохматый,б,vot,125.409822516557,3.40424725827817,3.52965708079472
d1,u3,баба_лохматый,,v2,90.5019337748345,3.52965708079472,3.62015901456956
d1,cf,баба_лохматый,,v1,157.731941721854,5.37740224635764,5.53513418807949
d1,cf,баба_лохматый,б,vot,120.238283443709,5.53513418807949,5.6553724715232
d1,cf,баба_лохматый,,v2,64.6275284768203,5.6553724715232,5.72000000000002
d1,u1,гьаба_бок,,v1,187.999999999999,9.06000000000002,9.24800000000002
d1,u1,гьаба_бок,б,vot,151.330013245033,9.24800000000002,9.39933001324505
d1,u1,гьаба_бок,,v2,138.338670198674,9.39933001324505,9.53766868344373
d1,u2,гьаба_бок,,v1,184.882521854306,9.996749192053,10.1816317139073
d1,u2,гьаба_бок,б,vot,131.874246357617,10.1816317139073,10.3135059602649
d1,u2,гьаба_бок,,v2,103.430781456954,10.3135059602649,10.4169367417219
d1,u3,гьаба_бок,,v1,149.83689536424,10.886,11.0358368953643
d1,u3,гьаба_бок,б,vot,109.895205298013,11.0358368953643,11.1457321006623
d1,u3,гьаба_бок,,v2,85.3303947019874,11.1457321006623,11.2310624953643
d1,cf,гьаба_бок,,v1,109.186787639825,18.8479449654499,18.9571317530897
d1,cf,гьаба_бок,б,vot,104.16670544949,18.9571317530897,19.0612984585392
d1,cf,гьаба_бок,,v2,56.4759246412905,19.0612984585392,19.1177743831805
d1,u1,лаба_палка,,v1,140.562301329432,23.9188641446091,24.0594264459385
d1,u1,лаба_палка,б,vot,200.803287613471,24.0594264459385,24.260229733552
d1,u1,лаба_палка,,v2,234.688842398246,24.260229733552,24.4949185759502
d1,u2,лаба_палка,,v1,122.992013663254,24.8524898781121,24.9754818917753
d1,u2,лаба_палка,б,vot,166.917732828697,24.9754818917753,25.142399624604
d1,u2,лаба_палка,,v2,256.024191707176,25.142399624604,25.3984238163112
d1,u3,лаба_палка,,v1,92.8715205212285,25.7230938908755,25.8159654113967
d1,u3,лаба_палка,б,vot,163.152671185948,25.8159654113967,25.9791180825827
d1,u3,лаба_палка,,v2,178.212917756955,25.9791180825827,26.1573310003396
d1,cf,лаба_палка,,v1,72.7911917598831,27.6845347227794,27.7573259145393
d1,cf,лаба_палка,б,vot,120.481972568083,27.7573259145393,27.8778078871074
d1,cf,лаба_палка,,v2,110.44180818741,27.8778078871074,27.9882496952948
d1,u1,саба_пыль,,v1,189.508102685213,29.832669250185,30.0221773528702
d1,u1,саба_пыль,б,vot,148.092424614937,30.0221773528702,30.1702697774852
d1,u1,саба_пыль,,v2,97.8916027115666,30.1702697774852,30.2681613801967
d1,u2,саба_пыль,,v1,175.007777482371,30.6239466172183,30.7989543947007
d1,u2,саба_пыль,б,vot,134.282186620286,30.7989543947007,30.933236581321
d1,u2,саба_пыль,,v2,96.6365821639847,30.933236581321,31.029873163485
d1,u3,саба_пыль,,v1,143.947179200097,31.3896077629575,31.5335549421576
d1,u3,саба_пыль,б,vot,123.372197435337,31.5335549421576,31.6569271395929
d1,u3,саба_пыль,,v2,100.401643806737,31.6569271395929,31.7573287833996
d1,cf,саба_пыль,,v1,144.858894460569,33.0716048105083,33.2164637049689
d1,cf,саба_пыль,б,vot,110.092759790028,33.2164637049689,33.3265564647589
d1,cf,саба_пыль,,v2,75.3266251194944,33.3265564647589,33.4018830898784
d1,u1,таба_сковорода,,v1,194.110918577159,35.2893048636065,35.4834157821837
d1,u1,таба_сковорода,б,vot,140.513127626754,35.4834157821837,35.6239289098104
d1,u1,таба_сковорода,,v2,131.821593959117,35.6239289098104,35.7557505037695
d1,u2,таба_сковорода,,v1,166.587728629651,36.1253804475366,36.2919681761662
d1,u2,таба_сковорода,б,vot,152.031823833774,36.2919681761662,36.444
d1,u2,таба_сковорода,,v2,102.91983041683,36.444,36.5469198304168
d1,u3,таба_сковорода,,v1,163.690550740448,36.9206557781251,37.0843463288656
d1,u3,таба_сковорода,б,vot,109.20147946397,37.0843463288656,37.1935478083295
d1,u3,таба_сковорода,,v2,105.746992956213,37.1935478083295,37.2992948012857
d1,cf,таба_сковорода,,v1,136.167360792932,38.6311053499969,38.7672727107898
d1,cf,таба_сковорода,б,vot,97.0554592885833,38.7672727107898,38.8643281700784
d1,cf,таба_сковорода,,v2,79.6723919533093,38.8643281700784,38.9440005620317
d1,u1,тшаба_мерин,,v1,170.64552731231,40.7226455273123,40.8932910546246
d1,u1,тшаба_мерин,б,vot,170.64552731231,40.8932910546246,41.0639365819369
d1,u1,тшаба_мерин,,v2,138.287243961422,41.0639365819369,41.2022238258984
d1,u2,тшаба_мерин,,v1,190.965555774554,41.512221860044,41.7031874158185
d1,u2,тшаба_мерин,б,vot,165.139139685046,41.7031874158185,41.8683265555036
d1,u2,тшаба_мерин,,v2,102.849815067003,41.8683265555036,41.9711763705706
d1,u3,тшаба_мерин,,v1,145.344314970579,42.2623427484363,42.4076870634069
d1,u3,тшаба_мерин,б,vot,167.550897064253,42.4076870634069,42.5752379604712
d1,u3,тшаба_мерин,,v2,149.204661294384,42.5752379604712,42.7244426217655
d1,cf,тшаба_мерин,,v1,152.101839183601,44.1546788515482,44.3067806907318
d1,cf,тшаба_мерин,б,vot,147.756072349779,44.3067806907318,44.4545367630816
d1,cf,тшаба_мерин,,v2,65.1865025072524,44.4545367630816,44.5197232655888
d1,u1,хъвбаба_волосатый,,v1,149.997070256198,46.3462689858658,46.4962660561219
d1,u1,хъвбаба_волосатый,б,vot,149.997070256198,46.4962660561219,46.6462631263781
d1,u1,хъвбаба_волосатый,,v2,154.784210796294,46.6462631263781,46.8010473371744
d1,u2,хъвбаба_волосатый,,v1,159.571351336382,47.3230801572179,47.4826515085543
d1,u2,хъвбаба_волосатый,б,vot,132.444221609198,47.4826515085543,47.6150957301635
d1,u2,хъвбаба_волосатый,,v2,87.7642432350072,47.6150957301635,47.7028599733985
d1,u3,хъвбаба_волосатый,,v1,130.848508095831,48.2677914136208,48.3986399217167
d1,u3,хъвбаба_волосатый,б,vot,111.69994593547,48.3986399217167,48.5103398676521
d1,u3,хъвбаба_волосатый,,v2,67.0199675612793,48.5103398676521,48.5773598352134
d1,cf,хъвбаба_волосатый,,v1,113.585799540168,50.8624142004599,50.976
d1,cf,хъвбаба_волосатый,б,vot,97.4713240619423,50.976,51.073471324062
d1,cf,хъвбаба_волосатый,,v2,37.8820478260238,51.073471324062,51.111353371888
d1,u1,аба_куда,,v1,222.312752287053,58.4366305511906,58.6589433034777
d1,u1,аба_куда,б,vot,129.801961819226,58.6589433034777,58.7887452652969
d1,u1,аба_куда,,v2,186.37263264845,58.7887452652969,58.9751178979454
d1,u2,аба_куда,,v1,225.777769027957,59.3043674230208,59.5301451920487
d1,u2,аба_куда,б,vot,143.42758212068,59.5301451920487,59.6735727741694
d1,u2,аба_куда,,v2,143.42758212068,59.6735727741694,59.8170003562901
d1,u3,аба_куда,,v1,163.507443617569,60.1339753127768,60.2974827563943
d1,u3,аба_куда,б,vot,147.730409584298,60.2974827563943,60.4452131659786
d1,u3,аба_куда,,v2,107.739333492852,60.4452131659786,60.5529524994715
d1,cf,аба_куда,,v1,114.14325525071,61.340954689877,61.4550979451277
d1,cf,аба_куда,б,vot,182.850845789964,61.4550979451277,61.6379487909177
d1,cf,аба_куда,,v2,105.277759697259,61.6379487909177,61.743226550615
d1,u1,абан_вон,,v1,74.2485252601668,63.537052054498,63.6113005797582
d1,u1,абан_вон,б,vot,188.391780510884,63.6113005797582,63.7996923602691
d1,u1,абан_вон,,v2,207.170427267542,63.7996923602691,64.0068627875366
d1,u2,абан_вон,,v1,94.1958902554347,64.365050682516,64.4592465727715
d1,u2,абан_вон,б,vot,211.536570150258,64.4592465727715,64.6707831429217
d1,u2,абан_вон,,v2,176.608428539154,64.6707831429217,64.8473915714609
d1,u3,абан_вон,,v1,98.5485623462381,65.224,65.3225485623463
d1,u3,абан_вон,б, vot,180.634471901612,65.3225485623463,65.5031830342479
d1,u3,абан_вон,,v2,164.816965752152,65.5031830342479,65.668
d1,cf,абан_вон,,v1,53.1929733207193,67.0861041468307,67.1392971201514
