speaker,utterance,word,cons,annotation,duration,start_time,end_time
d6,cf,2018_07_16_D6_stops_ахъа_моль,хъ,cd,89.3244851466406,8.76481825068253,8.854142735829171
d6,cf,2018_07_16_D6_stops_ахъа_моль,хъ,vot,85.65361589404041,8.854142735829171,8.939796351723212
d6,cf,2018_07_16_D6_stops_ахъа_моль,,v2,67.29926963103061,8.939796351723212,9.007095621354242
d6,u1,2018_07_16_D6_stops_бнакъа_________фасад,,v1,97.27418732261128,11.886482592782812,11.983756780105423
d6,u1,2018_07_16_D6_stops_бнакъа_________фасад,къ,cd,78.80440491958396,11.983756780105423,12.062561185025007
d6,u1,2018_07_16_D6_stops_бнакъа_________фасад,къ,vot,45.55879659413442,12.062561185025007,12.108119981619142
d6,u1,2018_07_16_D6_stops_бнакъа_________фасад,,v2,192.08573699148525,12.108119981619142,12.300205718610627
d6,u2,2018_07_16_D6_stops_бнакъа_________фасад,,v1,107.12473793755883,13.44708753507231,13.554212273009869
d6,u2,2018_07_16_D6_stops_бнакъа_________фасад,къ,cd,99.73682497634862,13.554212273009869,13.653949097986217
d6,u2,2018_07_16_D6_stops_бнакъа_________фасад,къ,vot,43.09615894039709,13.653949097986217,13.697045256926614
d6,u2,2018_07_16_D6_stops_бнакъа_________фасад,,v2,163.76540397351036,13.697045256926614,13.860810660900125
d6,u3,2018_07_16_D6_stops_бнакъа_________фасад,,v1,88.65495553453151,14.343294551155564,14.431949506690096
d6,u3,2018_07_16_D6_stops_бнакъа_________фасад,къ,cd,88.65495553453151,14.431949506690096,14.520604462224627
d6,u3,2018_07_16_D6_stops_бнакъа_________фасад,къ,vot,48.02143424787175,14.520604462224627,14.568625896472499
d6,u3,2018_07_16_D6_stops_бнакъа_________фасад,,v2,163.76540397350857,14.568625896472499,14.732391300446007
d6,cf,2018_07_16_D6_stops_бнакъа_________фасад,,v1,88.31055037559743,15.493570803845586,15.581881354221183
d6,cf,2018_07_16_D6_stops_бнакъа_________фасад,къ,cd,46.526809044129536,15.581881354221183,15.628408163265313
d6,cf,2018_07_16_D6_stops_бнакъа_________фасад,къ,vot,25.15270915183443,15.628408163265313,15.653560872417147
d6,cf,2018_07_16_D6_stops_бнакъа_________фасад,,v2,108.90080297728133,15.653560872417147,15.762461675394428
d6,u1,2018_07_16_D6_stops_гьата_сабля,,v1,119.52297899716058,17.852885184268153,17.972408163265314
d6,u1,2018_07_16_D6_stops_гьата_сабля,т,cd,143.39437350993478,17.972408163265314,18.11580253677525
d6,u1,2018_07_16_D6_stops_гьата_сабля,т,vot,27.612324692526613,18.11580253677525,18.143414861467775
d6,u1,2018_07_16_D6_stops_гьата_сабля,,v2,206.4921672658464,18.143414861467775,18.34990702873362
d6,u2,2018_07_16_D6_stops_гьата_сабля,,v1,114.20126348760107,18.898889704230307,19.013090967717908
d6,u2,2018_07_16_D6_stops_гьата_сабля,т,cd,124.70537189556197,19.013090967717908,19.13779633961347
d6,u2,2018_07_16_D6_stops_гьата_сабля,т,vot,48.02143424787175,19.13779633961347,19.18581777386134
d6,u2,2018_07_16_D6_stops_гьата_сабля,,v2,187.283593566697,19.18581777386134,19.37310136742804
d6,u3,2018_07_16_D6_stops_гьата_сабля,,v1,107.55630804162664,19.806851855223687,19.914408163265314
d6,u3,2018_07_16_D6_stops_гьата_сабля,т,cd,112.14175364238699,19.914408163265314,20.0265499169077
d6,u3,2018_07_16_D6_stops_гьата_сабля,т,vot,61.96611996215751,20.0265499169077,20.08851603686986
d6,u3,2018_07_16_D6_stops_гьата_сабля,,v2,114.54343386943933,20.08851603686986,20.203059470739298
d6,cf,2018_07_16_D6_stops_гьата_сабля,,v1,91.61012071901808,21.18609438464658,21.277704505365598
d6,cf,2018_07_16_D6_stops_гьата_сабля,т,cd,75.35671220434992,21.277704505365598,21.353061217569948
d6,cf,2018_07_16_D6_stops_гьата_сабля,т,vot,44.32747776726487,21.353061217569948,21.397388695337213
d6,cf,2018_07_16_D6_stops_гьата_сабля,,v2,124.11693774834731,21.397388695337213,21.52150563308556
d6,u1,2018_07_16_D6_stops_гьатан_брезент,,v1,104.12339829706951,23.107634350587922,23.21175774888499
d6,u1,2018_07_16_D6_stops_гьатан_брезент,т,cd,121.90056385998105,23.21175774888499,23.333658312744973
d6,u1,2018_07_16_D6_stops_гьатан_брезент,т,vot,54.178028382214194,23.333658312744973,23.387836341127187
d6,u1,2018_07_16_D6_stops_гьатан_брезент,,v2,170.57613623462586,23.387836341127187,23.558412477361813
d6,u2,2018_07_16_D6_stops_гьатан_брезент,,v1,90.23258278145718,24.40189637518584,24.492128957967296
d6,u2,2018_07_16_D6_stops_гьатан_брезент,т,cd,123.90145695364296,24.492128957967296,24.61603041492094
d6,u2,2018_07_16_D6_stops_гьатан_брезент,т,vot,49.829933774834245,24.61603041492094,24.665860348695773
d6,u2,2018_07_16_D6_stops_гьатан_брезент,,v2,138.71576158940258,24.665860348695773,24.804576110285176
d6,u3,2018_07_16_D6_stops_гьатан_брезент,,v1,74.8472943022307,25.15701363611901,25.23186093042124
d6,u3,2018_07_16_D6_stops_гьатан_брезент,т,cd,123.86233658864754,25.23186093042124,25.35572326700989
d6,u3,2018_07_16_D6_stops_гьатан_брезент,т,vot,34.4430026877518,25.35572326700989,25.39016626969764
d6,u3,2018_07_16_D6_stops_гьатан_брезент,,v2,139.09674162361085,25.39016626969764,25.52926301132125
d6,cf,2018_07_16_D6_stops_гьатан_брезент,,v1,67.04531012299242,26.548993209244497,26.61603851936749
d6,cf,2018_07_16_D6_stops_гьатан_брезент,т,cd,109.71050747398081,26.61603851936749,26.72574902684147
d6,cf,2018_07_16_D6_stops_гьатан_брезент,т,vot,38.09392620624408,26.72574902684147,26.763842953047714
d6,cf,2018_07_16_D6_stops_гьатан_брезент,,v2,102.09172223273555,26.763842953047714,26.86593467528045
d6,u1,2018_07_16_D6_stops_дзакIьA_край,,v1,130.02726811731335,29.751398937153674,29.881426205270987
d6,u1,2018_07_16_D6_stops_дзакIьA_край,кIь,cd,62.98195799432804,29.881426205270987,29.944408163265315
d6,u1,2018_07_16_D6_stops_дзакIьA_край,кIь,vot,88.71652147587028,29.944408163265315,30.033124684741185
d6,u1,2018_07_16_D6_stops_дзакIьA_край,,v2,127.3183666982014,30.033124684741185,30.160443051439387
d6,u2,2018_07_16_D6_stops_дзакIьA_край,,v1,109.89410028381741,31.036514062981496,31.146408163265313
d6,u2,2018_07_16_D6_stops_дзакIьA_край,кIь,cd,113.5902667928157,31.146408163265313,31.25999843005813
d6,u2,2018_07_16_D6_stops_дзакIьA_край,кIь,vot,50.114676253546264,31.25999843005813,31.310113106311675
d6,u2,2018_07_16_D6_stops_дзакIьA_край,,v2,205.87650785241252,31.310113106311675,31.515989614164088
d6,u3,2018_07_16_D6_stops_дзакIьA_край,,v1,157.11628230841512,32.036767471496155,32.19388375380457
d6,u3,2018_07_16_D6_stops_дзакIьA_край,кIь,cd,90.52440946074114,32.19388375380457,32.28440816326531
d6,u3,2018_07_16_D6_stops_дзакIьA_край,кIь,vot,73.36412639546097,32.28440816326531,32.35777228966077
d6,u3,2018_07_16_D6_stops_дзакIьA_край,,v2,182.85084578997157,32.35777228966077,32.540623135450744
d6,cf,2018_07_16_D6_stops_дзакIьA_край,,v1,80.43590236518838,33.557298426273825,33.63773432863901
